Model,Gr.Code,lDDT
T1249v1TS122_2o,122s,0.73
T1249v2TS196_3o,196,0.51
T1249v1TS122_1o,122s,0.727
T1249v1TS117_4o,117,0.371
T1249v1TS114_1o,114s,0.166
T1249v1TS023_1o,23,0.154
T1249v1TS023_2o,23,0.154
T1249v1TS031_1o,31,0.471
T1249v2TS304_4o,304s,0.735
T1249v1TS031_3o,31,0.486
T1249v1TS031_4o,31,0.348
T1249v1TS110_5o,110s,0.734
T1249v1TS110_4o,110s,0.732
T1249v1TS110_3o,110s,0.742
T1249v1TS110_2o,110s,0.727
T1249v1TS085_5o,85,0.429
T1249v1TS085_4o,85,0.429
T1249v1TS085_3o,85,0.429
T1249v1TS085_1o,85,0.428
T1249v1TS075_2o,075s,0.732
T1249v1TS085_2o,85,0.428
T1249v1TS110_1o,110s,0.724
T1249v1TS117_5o,117,0.36
T1249v1TS164_2o,164,0.737
T1249v1TS075_1o,075s,0.73
T1249v1TS262_3o,262,0.485
T1249v1TS028_2o,028s,0.743
T1249v1TS462_2o,462,0.724
T1249v1TS028_1o,028s,0.742
T1249v2TS008_3o,8,0.712
T1249v2TS008_4o,8,0.705
T1249v1TS023_5o,23,0.152
T1249v1TS023_4o,23,0.154
T1249v1TS015_1o,15,0.622
T1249v2TS139_3o,139,0.195
T1249v2TS139_4o,139,0.248
T1249v1TS008_2o,8,0.717
T1249v1TS465_5o,465,0.431
T1249v1TS465_4o,465,0.384
T1249v1TS031_2o,31,0.604
T1249v2TS284_5o,284s,0.736
T1249v2TS208_2o,208s,0.745
T1249v2TS337_3o,337s,0.15
T1249v2TS196_4o,196,0.441
T1249v2TS196_2o,196,0.427
T1249v2TS196_1o,196,0.435
T1249v2TS167_5o,167,0.731
T1249v2TS369_5o,369,0.735
T1249v2TS375_5o,375s,0.741
T1249v2TS139_2o,139,0.181
T1249v2TS139_1o,139,0.248
T1249v2TS122_5o,122s,0.736
T1249v2TS114_1o,114s,0.166
T1249v2TS085_2o,85,0.531
T1249v2TS085_1o,85,0.528
T1249v2TS075_5o,075s,0.736
T1249v2TS450_5o,450s,0.731
T1249v2TS023_5o,23,0.152
T1249v2TS456_3o,456s,0.739
T1249v2TS023_4o,23,0.154
T1249v2TS023_2o,23,0.154
T1249v2TS023_1o,23,0.154
T1249v2TS465_1o,465,0.437
T1249v2TS465_2o,465,0.436
T1249v2TS475_5o,475s,0.736
T1249v2TS489_1o,489,0.508
T1249v2TS489_2o,489,0.504
T1249v2TS489_4o,489,0.506
T1249v2TS489_5o,489,0.496
T1249v2TS014_5o,14,0.363
T1249v2TS014_4o,14,0.367
T1249v2TS014_3o,14,0.4
T1249v1TS028_3o,028s,0.724
T1249v1TS028_4o,028s,0.731
T1249v1TS028_5o,028s,0.732
T1249v2TS014_2o,14,0.39
T1249v1TS075_3o,075s,0.727
T1249v1TS075_4o,075s,0.732
T1249v1TS075_5o,075s,0.73
T1249v1TS164_4o,164,0.737
T1249v1TS164_5o,164,0.738
T1249v1TS196_3o,196,0.431
T1249v1TS204_5o,204,0.734
T1249v1TS208_5o,208s,0.741
T1249v1TS465_3o,465,0.42
T1249v1TS462_5o,462,0.73
T1249v1TS462_4o,462,0.734
T1249v1TS462_3o,462,0.727
T1249v1TS462_1o,462,0.742
T1249v1TS262_1o,262,0.486
T1249v1TS262_2o,262,0.625
T1249v1TS262_4o,262,0.622
T1249v1TS262_5o,262,0.704
T1249v1TS264_1o,264,0.729
T1249v1TS264_2o,264,0.731
T1249v1TS264_3o,264,0.746
T1249v1TS264_4o,264,0.732
T1249v1TS264_5o,264,0.746
T1249v1TS456_3o,456s,0.739
T1249v1TS450_2o,450s,0.744
T1249v1TS393_5o,393,0.73
T1249v1TS375_5o,375s,0.742
T1249v1TS369_5o,369,0.735
T1249v1TS465_2o,465,0.428
T1249v1TS475_2o,475s,0.732
T1249v1TS475_3o,475s,0.727
T1249v1TS475_4o,475s,0.732
T1249v1TS475_5o,475s,0.73
T1249v2TS015_2o,15,0.622
T1249v2TS085_3o,85,0.531
T1249v2TS085_4o,85,0.529
T1249v1TS475_1o,475s,0.73
T1249v1TS314_5o,314s,0.739
T1249v1TS312_5o,312s,0.746
T1249v1TS312_4o,312s,0.732
T1249v1TS312_3o,312s,0.746
T1249v1TS312_2o,312s,0.731
T1249v2TS300_1o,300s,0.166
T1249v1TS312_1o,312s,0.729
T1249v1TS300_1o,300s,0.166
T1249v1TS294_1o,294,0.732
T1249v1TS290_3o,290,0.727
T1249v1TS290_2o,290,0.741
T1249v1TS290_1o,290,0.74
T1249v1TS287_3o,287,0.742
T1249v1TS287_2o,287,0.729
T1249v1TS284_5o,284s,0.73
T1249v1TS284_4o,284s,0.732
T1249v2TS085_5o,85,0.534
T1249v1TS284_3o,284s,0.727
T1249v1TS196_2o,196,0.433
T1249v1TS284_2o,284s,0.732
T1249v1TS284_1o,284s,0.73
T1249v1TS274_5o,274,0.722
T1249v1TS204_3o,204,0.726
T1249v1TS204_2o,204,0.736
T1249v1TS204_1o,204,0.73
T1249v1TS196_5o,196,0.397
T1249v2TS465_4o,465,0.429
T1249v1TS196_4o,196,0.428
T1249v1TS196_1o,196,0.54
T1249v1TS167_2o,167,0.744
T1249v1TS164_3o,164,0.737
T1249v1TS164_1o,164,0.737
T1249v1TS148_4o,148s,0.733
T1249v2TS139_5o,139,0.181
T1249v1TS148_3o,148s,0.728
T1249v1TS148_2o,148s,0.733
T1249v1TS148_1o,148s,0.738
T1249v1TS147_5o,147s,0.73
