Model,Group,Model Number,GDT_TS
T1249v1TS221_5,TS221,5,0.443
T1249v1TS419_5,TS419,5,0.443
T1249v1TS204_4,TS204,4,0.435
T1249v1TS290_1,TS290,1,0.435
T1249v1TS304_3,TS304,3,0.432
T1249v1TS204_1,TS204,1,0.427
T1249v2TS267_4,TS267,4,0.425
T1249v2TS262_1,TS262,1,0.424
T1249v2TS262_5,TS262,5,0.417
T1249v1TS272_2,TS272,2,0.416
T1249v2TS075_4,TS075,4,0.416
T1249v2TS122_1,TS122,1,0.416
T1249v2TS284_4,TS284,4,0.416
T1249v2TS475_4,TS475,4,0.416
T1249v2TS314_3,TS314,3,0.415
T1249v2TS117_3,TS117,3,0.413
T1249v1TS304_5,TS304,5,0.403
T1249v2TS262_3,TS262,3,0.403
T1249v1TS304_4,TS304,4,0.4
T1249v2TS262_2,TS262,2,0.393
T1249v1TS489_1,TS489,1,0.391
T1249v1TS393_1,TS393,1,0.39
T1249v1TS287_2,TS287,2,0.387
T1249v2TS262_4,TS262,4,0.385
T1249v1TS369_5,TS369,5,0.375
T1249v2TS369_5,TS369,5,0.375
T1249v2TS304_5,TS304,5,0.371
T1249v1TS204_5,TS204,5,0.368
T1249v2TS075_5,TS075,5,0.364
T1249v2TS122_5,TS122,5,0.364
T1249v2TS284_5,TS284,5,0.364
T1249v2TS475_5,TS475,5,0.364
T1249v2TS272_1,TS272,1,0.359
T1249v2TS272_2,TS272,2,0.359
T1249v1TS489_3,TS489,3,0.35
T1249v2TS304_4,TS304,4,0.348
T1249v1TS015_1,TS015,1,0.337
T1249v2TS015_2,TS015,2,0.337
T1249v1TS262_1,TS262,1,0.334
T1249v1TS262_2,TS262,2,0.328
T1249v1TS262_3,TS262,3,0.327
T1249v1TS489_4,TS489,4,0.308
T1249v1TS264_3,TS264,3,0.299
T1249v1TS312_3,TS312,3,0.299
T1249v1TS110_5,TS110,5,0.298
T1249v1TS147_4,TS147,4,0.298
T1249v1TS462_4,TS462,4,0.298
T1249v1TS075_1,TS075,1,0.296
T1249v1TS122_4,TS122,4,0.296
T1249v1TS284_1,TS284,1,0.296
T1249v1TS475_1,TS475,1,0.296
T1249v1TS110_4,TS110,4,0.295
T1249v1TS075_3,TS075,3,0.294
T1249v1TS122_1,TS122,1,0.294
T1249v1TS264_4,TS264,4,0.294
T1249v1TS284_3,TS284,3,0.294
T1249v1TS312_4,TS312,4,0.294
T1249v1TS475_3,TS475,3,0.294
T1249v2TS167_5,TS167,5,0.294
T1249v2TS450_5,TS450,5,0.294
T1249v1TS204_3,TS204,3,0.293
T1249v1TS264_1,TS264,1,0.293
T1249v1TS312_1,TS312,1,0.293
T1249v1TS393_5,TS393,5,0.293
T1249v1TS028_1,TS028,1,0.292
T1249v1TS110_1,TS110,1,0.292
T1249v1TS110_3,TS110,3,0.292
T1249v1TS147_1,TS147,1,0.292
T1249v1TS147_2,TS147,2,0.292
T1249v1TS147_5,TS147,5,0.292
T1249v1TS148_2,TS148,2,0.292
T1249v1TS462_1,TS462,1,0.292
T1249v1TS462_2,TS462,2,0.292
T1249v1TS462_5,TS462,5,0.292
T1249v1TS075_4,TS075,4,0.291
T1249v1TS075_5,TS075,5,0.291
T1249v1TS122_2,TS122,2,0.291
T1249v1TS122_5,TS122,5,0.291
T1249v1TS148_4,TS148,4,0.291
T1249v1TS148_5,TS148,5,0.291
T1249v1TS284_4,TS284,4,0.291
T1249v1TS284_5,TS284,5,0.291
T1249v1TS475_4,TS475,4,0.291
T1249v1TS475_5,TS475,5,0.291
T1249v2TS008_3,TS008,3,0.291
T1249v1TS148_3,TS148,3,0.29
T1249v2TS008_4,TS008,4,0.29
T1249v1TS075_2,TS075,2,0.289
T1249v1TS110_2,TS110,2,0.289
T1249v1TS122_3,TS122,3,0.289
T1249v1TS147_3,TS147,3,0.289
T1249v1TS264_5,TS264,5,0.289
T1249v1TS284_2,TS284,2,0.289
T1249v1TS312_5,TS312,5,0.289
T1249v1TS462_3,TS462,3,0.289
T1249v1TS475_2,TS475,2,0.289
T1249v1TS028_2,TS028,2,0.288
T1249v1TS028_4,TS028,4,0.287
T1249v1TS028_5,TS028,5,0.287
T1249v1TS264_2,TS264,2,0.287
T1249v1TS312_2,TS312,2,0.287
T1249v1TS489_5,TS489,5,0.287
T1249v1TS148_1,TS148,1,0.286
T1249v1TS264_6,TS264,6,0.286
T1249v1TS290_3,TS290,3,0.284
T1249v1TS294_1,TS294,1,0.283
T1249v1TS294_2,TS294,2,0.283
T1249v1TS262_5,TS262,5,0.281
T1249v1TS028_3,TS028,3,0.28
T1249v1TS262_4,TS262,4,0.275
T1249v1TS031_2,TS031,2,0.26
T1249v1TS031_3,TS031,3,0.205
T1249v1TS196_1,TS196,1,0.201
