Model,Group,Model Number,Model Version,GDT_TS
T1249v1TS450_3,TS450,3,v1,0.465
T1249v2TS274_3,TS274,3,v2,0.465
T1249v1TS267_2,TS267,2,v1,0.464
T1249v2TS164_4,TS164,4,v2,0.464
T1249v1TS164_4,TS164,4,v1,0.462
T1249v1TS208_5,TS208,5,v1,0.462
T1249v1TS204_2,TS204,2,v1,0.46
T1249v1TS164_5,TS164,5,v1,0.458
T1249v1TS369_4,TS369,4,v1,0.458
T1249v1TS456_3,TS456,3,v1,0.458
T1249v2TS369_4,TS369,4,v2,0.458
T1249v2TS456_3,TS456,3,v2,0.458
T1249v1TS456_5,TS456,5,v1,0.457
T1249v2TS456_5,TS456,5,v2,0.457
T1249v1TS494_1,TS494,1,v1,0.456
T1249v2TS274_4,TS274,4,v2,0.456
T1249v2TS494_1,TS494,1,v2,0.456
T1249v1TS314_1,TS314,1,v1,0.453
T1249v1TS164_2,TS164,2,v1,0.452
T1249v1TS164_1,TS164,1,v1,0.45
T1249v2TS204_1,TS204,1,v2,0.45
T1249v2TS241_3,TS241,3,v2,0.447
T1249v1TS314_5,TS314,5,v1,0.444
T1249v1TS465_1,TS465,1,v1,0.442
T1249v2TS465_3,TS465,3,v2,0.442
T1249v1TS008_2,TS008,2,v1,0.44
T1249v1TS164_3,TS164,3,v1,0.44
T1249v2TS274_2,TS274,2,v2,0.438
T1249v1TS022_2,TS022,2,v1,0.436
T1249v2TS022_2,TS022,2,v2,0.436
T1249v2TS456_1,TS456,1,v2,0.436
T1249v1TS015_4,TS015,4,v1,0.432
T1249v2TS015_4,TS015,4,v2,0.432
T1249v1TS221_1,TS221,1,v1,0.431
T1249v1TS286_1,TS286,1,v1,0.431
T1249v1TS419_1,TS419,1,v1,0.431
T1249v2TS267_5,TS267,5,v2,0.426
T1249v1TS204_1,TS204,1,v1,0.425
T1249v1TS221_3,TS221,3,v1,0.425
T1249v1TS286_3,TS286,3,v1,0.425
T1249v1TS419_3,TS419,3,v1,0.425
T1249v2TS059_4,TS059,4,v2,0.418
T1249v1TS314_4,TS314,4,v1,0.416
T1249v2TS040_4,TS040,4,v2,0.411
T1249v2TS040_5,TS040,5,v2,0.411
T1249v1TS287_1,TS287,1,v1,0.41
T1249v2TS040_2,TS040,2,v2,0.407
T1249v1TS221_5,TS221,5,v1,0.398
T1249v1TS419_5,TS419,5,v1,0.398
T1249v2TS040_1,TS040,1,v2,0.397
T1249v1TS167_2,TS167,2,v1,0.394
T1249v1TS450_2,TS450,2,v1,0.394
T1249v1TS221_4,TS221,4,v1,0.392
T1249v1TS419_4,TS419,4,v1,0.392
T1249v1TS290_1,TS290,1,v1,0.391
T1249v1TS221_2,TS221,2,v1,0.386
T1249v1TS286_2,TS286,2,v1,0.386
T1249v1TS419_2,TS419,2,v1,0.386
T1249v1TS369_5,TS369,5,v1,0.383
T1249v2TS369_5,TS369,5,v2,0.383
T1249v1TS314_3,TS314,3,v1,0.382
T1249v2TS264_6,TS264,6,v2,0.381
T1249v1TS489_3,TS489,3,v1,0.38
T1249v1TS290_4,TS290,4,v1,0.374
T1249v1TS489_4,TS489,4,v1,0.374
T1249v2TS221_1,TS221,1,v2,0.374
T1249v2TS286_1,TS286,1,v2,0.374
T1249v2TS419_1,TS419,1,v2,0.374
T1249v1TS489_1,TS489,1,v1,0.362
T1249v1TS204_4,TS204,4,v1,0.359
T1249v2TS221_3,TS221,3,v2,0.359
T1249v2TS221_4,TS221,4,v2,0.359
T1249v2TS286_3,TS286,3,v2,0.359
T1249v2TS419_3,TS419,3,v2,0.359
