Model,Group,Model Number,Model Version,GlobalLDDT
T1239v1TS286_1,TS286,1,v1,0.6987
T1239v2TS022_5,TS022,5,v2,0.6987
T1239v2TS375_1,TS375,1,v2,0.6971
T1239v1TS023_1,TS023,1,v1,0.6968
T1239v1TS145_1,TS145,1,v1,0.6968
T1239v1TS112_4,TS112,4,v1,0.6965
T1239v2TS388_3,TS388,3,v2,0.6965
T1239v1TS311_3,TS311,3,v1,0.6954
T1239v1TS311_5,TS311,5,v1,0.6954
T1239v1TS311_2,TS311,2,v1,0.6952
T1239v1TS198_1,TS198,1,v1,0.6950
T1239v1TS311_1,TS311,1,v1,0.6942
T1239v2TS465_2,TS465,2,v2,0.6923
T1239v2TS112_5,TS112,5,v2,0.6922
T1239v1TS017_3,TS017,3,v1,0.6908
T1239v2TS052_5,TS052,5,v2,0.6886
T1239v2TS267_4,TS267,4,v2,0.6873
T1239v1TS014_5,TS014,5,v1,0.6850
T1239v1TS014_4,TS014,4,v1,0.6850
T1239v1TS014_3,TS014,3,v1,0.6850
T1239v1TS014_1,TS014,1,v1,0.6849
T1239v1TS423_4,TS423,4,v1,0.6845
T1239v2TS267_2,TS267,2,v2,0.6841
T1239v2TS267_3,TS267,3,v2,0.6838
T1239v1TS014_2,TS014,2,v1,0.6837
T1239v1TS014_6,TS014,6,v1,0.6835
T1239v1TS112_1,TS112,1,v1,0.6834
T1239v1TS112_3,TS112,3,v1,0.6832
T1239v2TS423_3,TS423,3,v2,0.6827
T1239v2TS267_1,TS267,1,v2,0.6822
T1239v1TS112_5,TS112,5,v1,0.6815
T1239v1TS423_5,TS423,5,v1,0.6810
T1239v2TS423_2,TS423,2,v2,0.6805
T1239v1TS423_3,TS423,3,v1,0.6802
T1239v2TS423_1,TS423,1,v2,0.6799
T1239v1TS267_5,TS267,5,v1,0.6797
T1239v2TS423_5,TS423,5,v2,0.6794
T1239v2TS059_3,TS059,3,v2,0.6783
T1239v2TS014_6,TS014,6,v2,0.6782
T1239v1TS423_1,TS423,1,v1,0.6780
T1239v1TS145_3,TS145,3,v1,0.6779
T1239v1TS017_2,TS017,2,v1,0.6779
T1239v1TS023_3,TS023,3,v1,0.6779
T1239v2TS014_1,TS014,1,v2,0.6779
T1239v2TS014_2,TS014,2,v2,0.6776
T1239v2TS052_3,TS052,3,v2,0.6774
T1239v1TS052_3,TS052,3,v1,0.6774
T1239v2TS014_3,TS014,3,v2,0.6768
T1239v2TS423_4,TS423,4,v2,0.6765
T1239v2TS014_4,TS014,4,v2,0.6757
T1239v2TS014_5,TS014,5,v2,0.6753
T1239v1TS465_3,TS465,3,v1,0.6750
T1239v1TS221_5,TS221,5,v1,0.6745
T1239v1TS419_5,TS419,5,v1,0.6745
T1239v2TS139_6,TS139,6,v2,0.6738
T1239v2TS059_6,TS059,6,v2,0.6738
T1239v1TS293_3,TS293,3,v1,0.6727
T1239v2TS079_3,TS079,3,v2,0.6727
T1239v1TS079_3,TS079,3,v1,0.6727
T1239v2TS293_3,TS293,3,v2,0.6727
T1239v1TS294_2,TS294,2,v1,0.6706
T1239v1TS079_1,TS079,1,v1,0.6698
T1239v2TS293_1,TS293,1,v2,0.6698
T1239v1TS293_1,TS293,1,v1,0.6698
T1239v2TS079_1,TS079,1,v2,0.6698
T1239v1TS286_2,TS286,2,v1,0.6692
T1239v2TS375_4,TS375,4,v2,0.6688
T1239v1TS375_3,TS375,3,v1,0.6688
T1239v1TS301_1,TS301,1,v1,0.6678
T1239v1TS022_4,TS022,4,v1,0.6676
T1239v2TS022_4,TS022,4,v2,0.6676
T1239v2TS079_2,TS079,2,v2,0.6669
T1239v1TS293_2,TS293,2,v1,0.6669
T1239v2TS293_2,TS293,2,v2,0.6669
T1239v1TS079_2,TS079,2,v1,0.6669
T1239v1TS139_6,TS139,6,v1,0.6655
T1239v1TS059_6,TS059,6,v1,0.6655
T1239v1TS294_3,TS294,3,v1,0.6649
T1239v2TS267_5,TS267,5,v2,0.6648
T1239v1TS122_5,TS122,5,v1,0.6608
T1239v2TS284_1,TS284,1,v2,0.6608
T1239v2TS122_5,TS122,5,v2,0.6608
T1239v2TS301_1,TS301,1,v2,0.6608
T1239v2TS075_1,TS075,1,v2,0.6608
T1239v2TS293_5,TS293,5,v2,0.6607
