Model,Group,Model Number,Model Version,GDT_TS
T1228v1TS298_3,TS298,3,v1,0.43539
T1228v1TS267_2,TS267,2,v1,0.43539
T1228v1TS286_1,TS286,1,v1,0.43539
T1228v2TS145_3,TS145,3,v2,0.43539
T1228v2TS425_4,TS425,4,v2,0.43493000000000004
T1228v1TS287_4,TS287,4,v1,0.43493000000000004
T1228v1TS345_1,TS345,1,v1,0.43493000000000004
T1228v2TS331_2,TS331,2,v2,0.43493000000000004
T1228v2TS051_3,TS051,3,v2,0.43493000000000004
T1228v1TS319_1,TS319,1,v1,0.43493000000000004
T1228v2TS345_3,TS345,3,v2,0.43493000000000004
T1228v2TS319_2,TS319,2,v2,0.43493000000000004
T1228v1TS051_1,TS051,1,v1,0.43493000000000004
T1228v1TS331_1,TS331,1,v1,0.43493000000000004
T1228v2TS462_1,TS462,1,v2,0.43445999999999996
T1228v1TS022_5,TS022,5,v1,0.43445999999999996
T1228v2TS022_1,TS022,1,v2,0.43445999999999996
T1228v1TS301_1,TS301,1,v1,0.43399
T1228v2TS475_4,TS475,4,v2,0.43399
T1228v1TS231_3,TS231,3,v1,0.43399
T1228v1TS221_1,TS221,1,v1,0.43351999999999996
T1228v1TS425_4,TS425,4,v1,0.43351999999999996
T1228v1TS079_3,TS079,3,v1,0.43305
T1228v2TS293_3,TS293,3,v2,0.43305
T1228v1TS293_3,TS293,3,v1,0.43305
T1228v2TS079_3,TS079,3,v2,0.43305
T1228v1TS204_5,TS204,5,v1,0.43258
T1228v1TS419_1,TS419,1,v1,0.43258
T1228v1TS267_4,TS267,4,v1,0.43212000000000006
T1228v2TS314_4,TS314,4,v2,0.43212000000000006
T1228v2TS241_4,TS241,4,v2,0.43212000000000006
T1228v1TS110_5,TS110,5,v1,0.43212000000000006
T1228v2TS462_2,TS462,2,v2,0.43165
T1228v1TS164_5,TS164,5,v1,0.43118
T1228v2TS196_3,TS196,3,v2,0.43118
T1228v1TS465_1,TS465,1,v1,0.43118
T1228v1TS196_3,TS196,3,v1,0.43118
T1228v1TS164_2,TS164,2,v1,0.43071
T1228v2TS235_1,TS235,1,v2,0.43071
T1228v2TS196_2,TS196,2,v2,0.43071
T1228v1TS196_2,TS196,2,v1,0.43071
T1228v1TS235_1,TS235,1,v1,0.43071
T1228v2TS267_2,TS267,2,v2,0.43024
T1228v1TS022_3,TS022,3,v1,0.42884
T1228v2TS022_3,TS022,3,v2,0.42884
T1228v2TS204_4,TS204,4,v2,0.42884
T1228v2TS314_3,TS314,3,v2,0.42837000000000003
T1228v2TS314_2,TS314,2,v2,0.42837000000000003
T1228v1TS314_4,TS314,4,v1,0.42837000000000003
T1228v1TS164_4,TS164,4,v1,0.4279
T1228v1TS241_4,TS241,4,v1,0.4279
T1228v1TS163_2,TS163,2,v1,0.4279
T1228v2TS163_2,TS163,2,v2,0.4279
T1228v1TS475_2,TS475,2,v1,0.42697
T1228v1TS163_5,TS163,5,v1,0.42697
T1228v2TS163_5,TS163,5,v2,0.42697
T1228v2TS267_1,TS267,1,v2,0.42697
T1228v1TS079_5,TS079,5,v1,0.42603
T1228v1TS301_4,TS301,4,v1,0.42603
T1228v2TS293_5,TS293,5,v2,0.42603
T1228v1TS293_5,TS293,5,v1,0.42603
T1228v2TS079_5,TS079,5,v2,0.42603
T1228v1TS164_3,TS164,3,v1,0.42556
T1228v1TS163_3,TS163,3,v1,0.42556
T1228v2TS489_3,TS489,3,v2,0.42556
